"reducedDims","dimsToUse","resolution"
"IterativeLSI",20,0.2
"LSI_RNA",20,0.2
"LSI_Combined",20,0.2
"IterativeLSI",30,0.2
"LSI_RNA",30,0.2
"LSI_Combined",30,0.2
"IterativeLSI",20,0.4
"LSI_RNA",20,0.4
"LSI_Combined",20,0.4
"IterativeLSI",30,0.4
"LSI_RNA",30,0.4
"LSI_Combined",30,0.4
"IterativeLSI",20,0.8
"LSI_RNA",20,0.8
"LSI_Combined",20,0.8
"IterativeLSI",30,0.8
"LSI_RNA",30,0.8
"LSI_Combined",30,0.8
"IterativeLSI",20,1.2
"LSI_RNA",20,1.2
"LSI_Combined",20,1.2
"IterativeLSI",30,1.2
"LSI_RNA",30,1.2
"LSI_Combined",30,1.2
